class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Middle_Stretch,0.481413037,0.240290612,-0.223014802,0.999805629,0.48741594,0.224860847,-0.192485467,0.999708116,0.491769612,0.224654645,-0.192478508,0.999554932,0.495524585,0.224628583,-0.192539647,0.999661446,0.475056082,0.226059467,-0.189361379,0.999639273,0.469941318,0.226456106,-0.189387158,0.999396682,0.465669572,0.226835936,-0.189357892,0.999544799,0.503648579,0.232859701,-0.051930148,0.999603927,0.45834595,0.234120309,-0.03511288,0.999565303,0.489766985,0.258149236,-0.172569484,0.999384522,0.472912371,0.257759452,-0.168035284,0.999333084,0.531695068,0.291207373,-0.032929417,0.997855246,0.436506212,0.292186379,-0.016598649,0.997827351,0.529502153,0.179427385,-0.117913559,0.994333029,0.437396854,0.176784173,-0.102274612,0.991451323,0.510876834,0.063762963,-0.13356249,0.982198179,0.449998468,0.06950862,-0.142602339,0.968960762,0.495674521,0.05067667,-0.175379768,0.944382191,0.458720982,0.055651605,-0.195979938,0.912591517,0.491011322,0.050579581,-0.174946442,0.938584447,0.462730318,0.054100811,-0.187256292,0.904423356,0.493504584,0.055040717,-0.140311256,0.938455641,0.461814553,0.058415923,-0.150139913,0.908553183,0.514575064,0.551535428,-0.003334443,0.999592841,0.446829617,0.551025808,0.003406185,0.999532342,0.512441754,0.73786658,0.02871776,0.986074507,0.441583067,0.733336806,0.028751248,0.99138391,0.508279204,0.889674187,0.251950026,0.983270466,0.449145973,0.886804044,0.245661303,0.989677429,0.502896607,0.90634352,0.264716029,0.907444179,0.457240194,0.903880179,0.25649634,0.883431435,0.526407421,0.949570537,0.102491125,0.9680475,0.438959658,0.949535728,0.091079585,0.975399256
Middle_Stretch,0.481421858,0.239937887,-0.255994141,0.999796391,0.487424225,0.224676371,-0.22618863,0.999689698,0.491792828,0.224527389,-0.226169318,0.999529958,0.495619148,0.224532828,-0.22621575,0.999642432,0.475055218,0.225896537,-0.225594431,0.999622881,0.469941229,0.22636646,-0.225627631,0.999376655,0.465669543,0.226799354,-0.225591183,0.999528527,0.503643572,0.232788473,-0.087758288,0.999552667,0.4583413,0.234120071,-0.083561055,0.999518752,0.489804178,0.258001357,-0.206053779,0.999318361,0.473054469,0.257331878,-0.204990461,0.99925828,0.531686664,0.293181241,-0.071966678,0.99758327,0.436612904,0.293888837,-0.062405873,0.997520804,0.5295344,0.182785898,-0.165060833,0.993819952,0.43751049,0.184456989,-0.162049875,0.990756392,0.512177646,0.066419221,-0.210827351,0.981636345,0.449992418,0.072831884,-0.221872851,0.968038976,0.497560889,0.051234655,-0.258898705,0.943057358,0.458576024,0.056277625,-0.272926301,0.911281943,0.49200359,0.050911587,-0.258672744,0.93723309,0.462698609,0.054322015,-0.271169275,0.903064728,0.494228214,0.055533823,-0.21863392,0.937045157,0.461798579,0.058808349,-0.23103264,0.907261729,0.516797423,0.55211699,-0.004351353,0.999539196,0.449468434,0.55146569,0.004383933,0.999496639,0.512502909,0.73589021,0.049449224,0.986052275,0.441577822,0.7336393,0.048623838,0.991253257,0.50818187,0.88807255,0.253255874,0.983445942,0.449701637,0.888036609,0.252684802,0.989644408,0.501960337,0.90541476,0.264840961,0.908412397,0.457893521,0.906573713,0.262266189,0.885651827,0.52492547,0.947836637,0.10389588,0.968344688,0.438678324,0.949467957,0.102875963,0.975347519
Middle_Stretch,0.481313944,0.23982884,-0.290964574,0.999790072,0.487376302,0.224667042,-0.262486517,0.999679208,0.491778612,0.224527389,-0.262462884,0.999519825,0.495642185,0.224538073,-0.262507737,0.999632895,0.474834859,0.225869745,-0.26216054,0.999611259,0.469788253,0.226353183,-0.26219368,0.999365985,0.465547711,0.226796731,-0.262160212,0.999514639,0.503633142,0.232787833,-0.128238708,0.999515772,0.458276927,0.234120935,-0.125091478,0.999482632,0.489785284,0.257994771,-0.242268354,0.999281347,0.47301808,0.257159203,-0.241551667,0.999206364,0.531576037,0.294864357,-0.115022063,0.9973827,0.436613142,0.294750512,-0.112265453,0.997199297,0.529511809,0.185069874,-0.223475665,0.99350971,0.437505424,0.186437458,-0.21950385,0.990404963,0.513288558,0.068491459,-0.280473143,0.981446445,0.449976623,0.073762499,-0.265301883,0.967729986,0.498999447,0.051696803,-0.329174131,0.942577004,0.458597332,0.056478176,-0.313845128,0.910992563,0.493682086,0.051283818,-0.327171087,0.936763287,0.462762505,0.054392293,-0.309929788,0.902698636,0.495817363,0.05619178,-0.287781924,0.936666906,0.461860001,0.058899179,-0.272952735,0.90688467,0.517308831,0.553684294,-0.003778915,0.99949789,0.449594796,0.552559257,0.003753781,0.999456465,0.512484491,0.735877275,0.063215107,0.985843956,0.441570848,0.733662903,0.058666807,0.991049588,0.507673442,0.887795627,0.264031947,0.983482122,0.450288355,0.887542129,0.267575741,0.989356697,0.500575244,0.90500468,0.274594337,0.909185231,0.458611548,0.906049311,0.278188705,0.885553777,0.524532735,0.947844207,0.118250191,0.968295634,0.439394295,0.948116541,0.123680726,0.974779546
Middle_Stretch,0.481359243,0.239764169,-0.315001309,0.999782562,0.487438917,0.224625796,-0.287633359,0.999664605,0.491864204,0.224504456,-0.287590384,0.999501765,0.495764732,0.224525705,-0.287636399,0.999616563,0.474842131,0.225837022,-0.287705541,0.99959892,0.469786257,0.226337001,-0.287751079,0.999355733,0.465539217,0.226791337,-0.287718236,0.999503672,0.503594518,0.232749298,-0.152164444,0.999472499,0.458249271,0.234091207,-0.15158917,0.999449909,0.489802033,0.257935464,-0.265166253,0.999231339,0.473053128,0.256968141,-0.265157878,0.99914676,0.5314399,0.295236081,-0.129516035,0.997125924,0.436619908,0.294965595,-0.129324824,0.996961892,0.529510736,0.185483426,-0.221195936,0.993153393,0.43753323,0.186036855,-0.231952518,0.990077317,0.513324499,0.068383202,-0.265152127,0.981214046,0.449963897,0.0741679,-0.284020185,0.967845917,0.499000967,0.051683147,-0.311528325,0.941863656,0.458153963,0.056478314,-0.332013786,0.911740065,0.493693262,0.051269595,-0.309503525,0.936026394,0.46255374,0.054302905,-0.330575854,0.903480649,0.495812505,0.05616786,-0.271962047,0.935854912,0.461818993,0.058815133,-0.292359084,0.907506645,0.517661572,0.553741455,-0.003861405,0.9994542,0.449988306,0.552595437,0.003817948,0.999424219,0.512067318,0.735298753,0.065532707,0.985518515,0.441562891,0.733662367,0.063166849,0.990731299,0.507201493,0.887805998,0.265102237,0.983465075,0.450341642,0.887554705,0.271082103,0.989118576,0.500187874,0.905088603,0.275300741,0.909876645,0.458788097,0.906085789,0.281662405,0.88651526,0.52378726,0.946443617,0.120085344,0.968246043,0.439397007,0.947535396,0.1284343,0.974391699
Middle_Stretch,0.481393814,0.239262402,-0.353218377,0.999780059,0.487457842,0.224364817,-0.325637162,0.999659896,0.491888463,0.224343404,-0.325588167,0.999496698,0.49580726,0.224416927,-0.325636566,0.999611259,0.474891752,0.225442111,-0.326598227,0.999597609,0.469815314,0.22602503,-0.326649725,0.999359488,0.465559721,0.226569802,-0.326621532,0.999503076,0.503542304,0.23270078,-0.186711386,0.999441981,0.458261967,0.234063461,-0.190385371,0.99943161,0.489810556,0.257694662,-0.301999032,0.999207735,0.473135293,0.256474465,-0.303269982,0.999114811,0.531387866,0.296153486,-0.158894971,0.996864736,0.436577022,0.295396954,-0.17031756,0.996718943,0.529276192,0.185760975,-0.247453004,0.99292171,0.43769899,0.18647854,-0.274710804,0.989906728,0.513348699,0.068472885,-0.293032557,0.981336117,0.44997257,0.074700281,-0.322356761,0.967944443,0.499041498,0.051700722,-0.339170814,0.942129374,0.458006054,0.056587253,-0.370147526,0.912267268,0.493780315,0.051271848,-0.337983042,0.936341584,0.462476492,0.05432082,-0.368888676,0.904010415,0.495878845,0.056186918,-0.300002009,0.935987949,0.461805969,0.058868069,-0.330590069,0.90785867,0.517971396,0.554574072,-0.00303093,0.999416113,0.450122654,0.553212523,0.002918254,0.999395549,0.511908293,0.735360801,0.079789102,0.985234916,0.441522181,0.734742284,0.07369519,0.990443587,0.506703675,0.888331831,0.288079411,0.983369648,0.451378107,0.887768626,0.291757286,0.988885164,0.499794006,0.90537262,0.299284756,0.910756409,0.459526151,0.906229317,0.303569794,0.887070775,0.523589969,0.946237981,0.145916134,0.968188286,0.440008342,0.946427464,0.149981767,0.974021435
Middle_Stretch,0.481445313,0.238889039,-0.318287551,0.999770641,0.487528265,0.224190935,-0.289689571,0.999642968,0.491974592,0.224234149,-0.28964895,0.999474525,0.495901048,0.224350467,-0.289696157,0.999593258,0.47497052,0.225191489,-0.290085584,0.99957943,0.469859511,0.225822046,-0.290134639,0.999339998,0.465581357,0.226406783,-0.29010579,0.999486506,0.50355643,0.232671916,-0.150786415,0.999402523,0.458264917,0.23402746,-0.15139693,0.999392927,0.489840835,0.25740543,-0.267492592,0.999164104,0.473239988,0.25609687,-0.267887682,0.999055505,0.531400442,0.296096146,-0.126107439,0.996692121,0.436534643,0.295421571,-0.131373137,0.996487558,0.529475808,0.185653374,-0.210139722,0.992572844,0.438009679,0.186200425,-0.230744317,0.989558518,0.513734162,0.069137596,-0.246160597,0.980888486,0.450039387,0.074592829,-0.279108495,0.96753788,0.499143422,0.051896971,-0.291215956,0.941013396,0.458111048,0.056555059,-0.328881055,0.912030399,0.493946135,0.051294908,-0.290203005,0.935143888,0.462582916,0.054096181,-0.327300519,0.903766513,0.496037483,0.056227103,-0.253121465,0.934735894,0.461870581,0.058556415,-0.287979424,0.907637119,0.51817894,0.555207253,-0.00338093,0.99938482,0.450194836,0.554130912,0.003258314,0.999367654,0.511910677,0.735641181,0.077744789,0.985437334,0.440325171,0.735757411,0.075775601,0.990445197,0.506748974,0.888511002,0.290444523,0.983702481,0.451450914,0.888674617,0.296961725,0.988918722,0.499809563,0.905615628,0.301951319,0.911826611,0.459773481,0.907270789,0.309067219,0.889014781,0.523306131,0.946119249,0.145556062,0.968609452,0.439967155,0.94637543,0.154214278,0.97407943
Middle_Stretch,0.481866032,0.238653511,-0.349439979,0.999771714,0.487942547,0.224088326,-0.322075874,0.999643505,0.492377609,0.224163324,-0.322021306,0.999478102,0.496252149,0.224312842,-0.322069436,0.999594033,0.475412786,0.22506389,-0.323476732,0.999582946,0.470172703,0.225736752,-0.323531359,0.999350786,0.465763509,0.226349562,-0.32349515,0.999492764,0.503685951,0.232630253,-0.182152599,0.999392331,0.458305359,0.23402293,-0.187557667,0.999389887,0.490183353,0.257144392,-0.297421455,0.999154925,0.473740488,0.255812079,-0.299164146,0.999040842,0.531424582,0.296073467,-0.15176779,0.996494234,0.436550945,0.295410037,-0.163859442,0.996325433,0.529589295,0.185570553,-0.248499602,0.992218912,0.438175678,0.186092511,-0.268781394,0.989471793,0.513920784,0.069246203,-0.307281584,0.98031354,0.450052321,0.074532181,-0.318517923,0.967613816,0.499317318,0.052271228,-0.35505873,0.939347744,0.458065033,0.05655086,-0.366920412,0.912440002,0.494194895,0.051577453,-0.352898538,0.933354616,0.462563843,0.054091584,-0.365070611,0.904182911,0.496316254,0.056450192,-0.314353645,0.933015287,0.461872011,0.058547217,-0.326374382,0.90788269,0.518189013,0.554828882,-0.003367382,0.999345005,0.450197458,0.553438067,0.00324032,0.99934268,0.511437178,0.735652924,0.074593119,0.985174716,0.440147638,0.735668361,0.071613401,0.990241349,0.506585002,0.888329148,0.284112751,0.983678997,0.451665074,0.888689339,0.287365079,0.98875308,0.49980396,0.905167997,0.295505941,0.911994874,0.459868491,0.907275736,0.29885605,0.8891868,0.522986472,0.945692062,0.138738304,0.96863544,0.439962238,0.946341574,0.14200896,0.973780513
Middle_Stretch,0.481866032,0.238604575,-0.343888611,0.999764919,0.487949133,0.223986104,-0.316508144,0.999631166,0.492397219,0.224042073,-0.316459358,0.999464691,0.496301264,0.224179611,-0.316508651,0.999580979,0.475399435,0.225045115,-0.316921979,0.999571443,0.470161676,0.225733131,-0.316979617,0.999339879,0.46575588,0.226349562,-0.31694752,0.999481082,0.503700137,0.232475668,-0.177353173,0.999364614,0.458274603,0.234022766,-0.178172737,0.999364555,0.49019447,0.256980062,-0.29216069,0.999122798,0.473739952,0.255689859,-0.292613328,0.998999834,0.531448364,0.296025813,-0.149266973,0.996348977,0.436487973,0.29531911,-0.153234512,0.996188045,0.529696345,0.185400754,-0.242744088,0.992017388,0.438166678,0.185474351,-0.256481677,0.989403605,0.513901114,0.06920708,-0.289245307,0.979851425,0.450049818,0.074606322,-0.306233913,0.967529833,0.499325424,0.052376535,-0.335756272,0.9379071,0.458024591,0.057025727,-0.355177343,0.912435412,0.494236767,0.051732995,-0.333952606,0.931817234,0.462542951,0.054475483,-0.352310449,0.904145479,0.496366799,0.056560192,-0.296094149,0.931515634,0.461872756,0.058788147,-0.313953489,0.907758534,0.518535018,0.554950714,-0.003435836,0.999314606,0.450187743,0.553525686,0.00330596,0.999322116,0.511196256,0.735337853,0.072628818,0.985274553,0.440048754,0.735899031,0.070851266,0.990314662,0.506587088,0.88791579,0.28327778,0.984007359,0.451815039,0.888878822,0.286131203,0.988798141,0.499821097,0.904968798,0.294710934,0.912986875,0.460092872,0.907666802,0.297344446,0.889756739,0.522712588,0.945705712,0.136964351,0.969200611,0.440300882,0.946457922,0.140026182,0.973840117
Middle_Stretch,0.481974691,0.23809962,-0.414585352,0.999776304,0.488023937,0.22359176,-0.388322741,0.999650776,0.492483139,0.223708242,-0.388268381,0.999494433,0.496390402,0.223897293,-0.388316602,0.999603629,0.475492865,0.224663436,-0.38890329,0.999595523,0.470221102,0.225462765,-0.388961971,0.999378204,0.465794474,0.226175398,-0.388920575,0.999509573,0.503780484,0.232383192,-0.247455984,0.999391258,0.458388984,0.234021664,-0.248579353,0.999391258,0.490300566,0.256634504,-0.361746997,0.999157667,0.473946393,0.255368739,-0.362313092,0.999036193,0.531543374,0.296326071,-0.21783945,0.99619031,0.436551869,0.295517445,-0.212824821,0.996064603,0.529771686,0.18600139,-0.340509593,0.991909862,0.43816933,0.185282692,-0.313751876,0.989447951,0.513886213,0.069172494,-0.426500261,0.979528964,0.449959338,0.074489161,-0.36826852,0.968034565,0.499437958,0.052364066,-0.479268491,0.936774015,0.458001912,0.056965079,-0.415363312,0.913557231,0.494368792,0.051726464,-0.475684106,0.930598736,0.46254468,0.054254819,-0.415206373,0.905330539,0.496430725,0.056552626,-0.433462948,0.930305481,0.461872399,0.058555748,-0.376198173,0.908641875,0.518525004,0.554917932,-0.005831726,0.999284804,0.450179875,0.553375006,0.005644124,0.999303997,0.510738432,0.735223174,0.073313639,0.984928668,0.439231068,0.735853612,0.086537242,0.990094006,0.506371439,0.887273967,0.284578025,0.983982086,0.45169273,0.888874471,0.298020065,0.988690495,0.499823511,0.903971791,0.295946181,0.913031101,0.459963948,0.90765667,0.308713943,0.890257061,0.52199316,0.945100248,0.138482541,0.96943754,0.440303326,0.946460545,0.152308926,0.973787546
Middle_Stretch,0.481867224,0.238095343,-0.370036364,0.999773741,0.48798275,0.223587766,-0.343121141,0.999648988,0.492461145,0.223703369,-0.343076289,0.999496281,0.496390581,0.223893195,-0.343134075,0.99960345,0.475332677,0.224650815,-0.342903823,0.999592602,0.470051199,0.22544679,-0.342958868,0.999378681,0.465611219,0.226155534,-0.342922449,0.999505579,0.503754199,0.232366011,-0.20638141,0.999385834,0.458199412,0.234014124,-0.203477457,0.999379098,0.490197599,0.256620169,-0.319130123,0.999150991,0.473724514,0.255357653,-0.318577945,0.999015808,0.531572938,0.296487391,-0.185077667,0.996121645,0.436555386,0.295877665,-0.174735039,0.995858669,0.529894471,0.186054453,-0.289485157,0.991768956,0.438170016,0.185284838,-0.274666667,0.989248097,0.513893664,0.069086209,-0.342188627,0.979036212,0.449977785,0.074448213,-0.322805583,0.967813134,0.499528229,0.052333165,-0.390525371,0.935391247,0.458224446,0.056967966,-0.37031284,0.913328767,0.494430602,0.05171486,-0.38722688,0.92911315,0.462751716,0.054251634,-0.368097782,0.90504998,0.496474922,0.056539241,-0.348600239,0.928996265,0.462012827,0.058539037,-0.330642879,0.908347726,0.519092798,0.555010021,-0.007923851,0.999262869,0.450799793,0.553578198,0.007746409,0.999277413,0.510728836,0.735371947,0.071244821,0.984920681,0.441158533,0.735996068,0.088079378,0.989836454,0.506443739,0.885518134,0.28669852,0.984058857,0.453011841,0.888004601,0.311968386,0.988357484,0.50009048,0.902216315,0.298920214,0.913115442,0.461420208,0.906571984,0.32442826,0.889382422,0.521215498,0.944137394,0.14251712,0.969383955,0.440814406,0.944388628,0.171463698,0.973099351
